** TWEETS **

2201623465: 9948
1118941682: 4406
257332880: 26535
204348114: 3098
912745614823317504: 8022
48976307: 4537
1095238556530995200: 817
997890258011344896: 827
260788584: 3516
1146013092335239169: 413
241993704: 9307
805508913261146112: 3904
2379309613: 8465
2216589010: 2211
140034129: 1839
2355076350: 6882
477907106: 3373
50982086: 12641
257669729: 987
848650907499859968: 1744
2599889528: 5423
3439292716: 49734
68740712: 1953
1121524997422448647: 1563
148331426: 2255
2395114743: 2954
917833712: 3209
784574954: 2406
523386042: 2737
108994652: 1543
2375743544: 1995
19923515: 57185
535707261: 43169
36626651: 39
72494826: 2000
200194757: 2048
20509689: 9123
498722246: 2199
1617531938: 2005
19028805: 19824
3161302295: 9341
83784273: 8974
932321656416108544: 2513
1138929492288819200: 657
44898619: 17226
1136340341311848453: 979
234113882: 92
143538142: 1244
122353251: 2724
4703390322: 2184
482389606: 1722
245118516: 2185
1092714738658828288: 1647
501606977: 2778
411722888: 2530
789846117563428865: 1770
2373804017: 2311
925360703812395008: 10070
226171288: 10509
102095809: 1092
193050995: 1536
816178: 5271
301308940: 6475
292464252: 5214
132613373: 2087
3032171949: 4886
2308987453: 4952
601887686: 9752
854017534865092608: 2321
278955879: 1392
552561770: 1628
18979745: 4707
40900410: 9167
18097083: 5996
1976143068: 65
246982544: 69
3039268715: 2067
56321648: 31277
2910853983: 35984
45544223: 9775
15095537: 42926
149064381: 2899
249364478: 1438
38458062: 6042
2303221610: 4349
148867925: 9057
59749870: 4255
1400848982: 6762
2765834914: 1138
237223544: 7503
326735453: 1606
13494262: 12340
249122306: 6387
173541298: 5154
1102145773087744000: 853
1099251922152931329: 1978
268927636: 87
3127325711: 994
956944536273608704: 2928
160132562: 3896
2591051161: 7538
2785536912: 10770
84053338: 21137
748256028786032640: 13881
736284974878478337: 7992
1267843368: 5901
1635846486: 7904
163044710: 2446
94413714: 8381
117713581: 37
158342368: 1898
300120714: 9336
11904592: 2887
238275157: 2908
357596883: 651
1043257282828615680: 2821
2423662292: 8360
2398162506: 3424
3020408320: 4770
1105212399441899521: 1843
3019929155: 4557
605385136: 2346
2342348916: 6704
2866276162: 7467
2398071896: 9907
2373783606: 5921
280405370: 34
91796121: 7419
49998704: 7686
1903891723: 7927
3183558887: 2604
15133318: 8315
74205573: 10255
93929450: 3652
405180461: 3348
2760245053: 5433
163125655: 880
2951865143: 2063
905007924132663298: 1220
886542529457524736: 1613
29270179: 5323
241043904: 1864
181474229: 2750
1926442338: 38
522108784: 12355
252203942: 1274
2827819039: 6395
729203903158431744: 12
484049273: 76
423423050: 2266
176767978: 2665
2558484630: 6547
47712472: 990
33245408: 5126
3065845793: 927
98639150: 25
3186884645: 1900
296456619: 3972
347292614: 2659
17618056: 4180
363696047: 1570
282170016: 935
307013104: 58
2361481177: 1223
3329036201: 4680
1324103340: 1625
447260411: 8789
17804233: 3062
158658247: 37
14824411: 8855
858285742988161025: 3020
3293235461: 1236
1321037714: 2678
391938617: 1067
257450818: 2429
388161545: 1074
288159350: 1449
145969179: 2294
136359280: 2515
262163456: 701
311349742: 88
715982930561122305: 7189
494478539: 2333
365339642: 2447
977027892: 1056
16579721: 2524
450488947: 2253
720786569792253952: 3493
148819696: 1101
3906310100: 7728
118453663: 62
2415685538: 4102
4185234041: 97
470648176: 74
393562501: 2870
301368474: 941
1211640481: 45
1178807533: 3346
4909929401: 2471
262248282: 2023
300969753: 1005
332305283: 2028
69060709: 4875
365392319: 2441
172129475: 2864
2956922693: 7002
71341401: 3162
4181148713: 53
725615203: 1446
338889569: 1948
2299803774: 7415
571948562: 1863
160831087: 7839
242796283: 3418
4119160593: 62
99052611: 3331
493507751: 1282
798886004207783936: 30
1173373987726008321: 1898
3019568698: 39
90725961: 11810
414892667: 92
1228358370: 59
317316779: 1513
368765699: 2747
212198795: 4
10242562: 9411
187864310: 4367
89543500: 8275
90848443: 1114
84054978: 4808
100259974: 1517
1855529960: 82
124568057: 860
19391273: 25
423309466: 21
1307618678: 67
799293029353984000: 4470
506297233: 37
3096575289: 1424
237218780: 1295
558982706: 7
879684894569484288: 31
1146724406309400577: 95
1654997503: 2112
738772361055461376: 3451
112134350: 2281
1471889304: 46
194517733: 14028
553469585: 62
293033743: 62
752439542859304960: 675
156717239: 10
2644901672: 93
392870735: 687
275661480: 966
618974206: 2912
452985859: 11364
3078012851: 871
2562977478: 43
63283022: 4787
499649876: 3126
2324417802: 11
425783717: 81
20585956: 1545
3005765446: 1222
2574425520: 1849
247670022: 67
2841840041: 40
1335304140: 3268
100332112: 7456
797028270: 12756
13169022: 2859
259409783: 3498
262749833: 36
904105908: 1469
925676922838929408: 2342
402219133: 1800
766093159034195968: 17
399954373: 2936
378525757: 2000
14273735: 2348
727897027464593411: 2309
16120227: 889
244627171: 4225
2350951542: 65
277018118: 2351
47975115: 1211
153351659: 2905
36335926: 7060
258439147: 1787
177862974: 8579
889391168353693697: 5095
216155757: 1878
405499878: 2374
788864262483615745: 62
378703097: 2324
94534362: 5658
144865638: 3174
14304620: 40212
542031363: 61
239072447: 4104
276883917: 55
510203470: 6143
262170430: 2081
163635075: 1617
210607838: 1372
542494722: 1188
165415384: 997
270317095: 2783
166767045: 1
1121870430: 47
775304006616944640: 56201
1003771289092481025: 26
98101353: 2232
1168672320367538178: 3452
2300055003: 26
83573034: 1413
64688134: 2919
218094642: 87
77963344: 3924
253788855: 3893
279030847: 3219
270827206: 2637
833696723939815424: 1064
373931682: 4222
37743703: 5958
262597648: 3808
2351613030: 3660
286924859: 1373
140020905: 2062
2746007144: 96
2454703666: 2968
274008249: 1505
69352638: 1868
529555322: 1338
262553207: 1323
110250944: 2481
281539503: 2456
890901968646004736: 1121
404265706: 2951
4354211962: 2241
18431025: 1404
3101453933: 2273
92762212: 1026
493960916: 3594
103842381: 736
1874472991: 34
2288138575: 9641
2403280765: 63
2967547407: 3902
2371789428: 3685
3044851768: 3517
221406410: 1883
2301274694: 4338
3045358571: 1810
2973664948: 13
3055001794: 4332
1577384395: 23578
2322314204: 83
2686076408: 1063
3217538488: 1880
828867758: 4721
2329184163: 1045
2523186290: 1318
3041105807: 2419
3054128127: 1486
2855434408: 48
161021621: 12949
3782549535: 12725
2541774798: 5787
2319411390: 3259
149621959: 11886
990889803032989696: 443
367942084: 37680
823882430234947586: 2225
789096753450651648: 980
1114568586: 5871
213880987: 897
2291383507: 2361
2360878495: 1739
2872270425: 56
2326954436: 98
2342655565: 2462
410016507: 2387
911959107590123520: 5355
391334182: 888
1473084361: 3181
3075990394: 711
1863514303: 1298
794439428185976832: 1814
4360802391: 20
70783289: 872
207233779: 2579
241621305: 92
566258312: 59
45013575: 69021
3147310571: 1590
3008074877: 82
268807486: 909
155820539: 1143
3351004205: 39
168670615: 704
929624193028820993: 57
35192739: 494
4286657254: 10
480557521: 3136
1146351084: 51
635833515: 4851
113035227: 6068
1087289087785123840: 4
20929745: 44
166199937: 1465
14101085: 11692
991601350394941441: 4159
524554152: 64
326894168: 8783
313819854: 12206
4200956129: 1000
510005387: 81
249817975: 555
263217800: 2651
226865782: 48
155544328: 5342
1570158704: 2083
83093494: 2026
1567888128: 5151
3379260160: 769
1052939105737351168: 14088
1190824687: 977
1113168701459718144: 807
870602522452520961: 93
3226151715: 5955
2992654283: 1113
267244493: 2069
1176094393780117507: 92
783315660394946560: 3123
492963267: 72
1075722904761974789: 98
182468304: 2516
533300962: 570
1049618506122219520: 3393
3607648335: 2228
4158886901: 1693
171666636: 52
45790684: 1170
3421106806: 795
819428059610746880: 1629
3363932933: 1385
71523791: 1405
217227463: 75
3010640649: 13
289437195: 40
2416100726: 59
1884163777: 2790
927551672: 29
226108836: 43
380808030: 38
109309136: 2847
436598886: 626
1450846628: 20
2831727421: 77
740978373770498048: 90615
1113606557781176320: 40
1087676829643821056: 42
1078956506: 69
1151073066321158144: 19
2240681125: 78
4851740650: 5954
1111096700: 57
1035518588: 873
555326714: 1432
2615587202: 63833
4896120545: 489
3067647501: 3002
2403298190: 1522
1114268798: 4370
2318110975: 41
1011486391: 1230
1043402114381348864: 3444
714171806: 2926
144604226: 3
186863412: 69
1124320844300394502: 406
1150769437: 35312
1174737178183831552: 84
1232118062: 32
2851493459: 960
12906862: 2281
143740566: 2284
2339427847: 5
1171342846135275521: 19
229010011: 1184
300849149: 61
380852058: 87
12824222: 1445
19002571: 16649
117563598: 87
1182670375785775106: 69
800798977: 12553
26483259: 825
76977773: 884
987617718345109505: 75
222786524: 1488
426836464: 3074
